scope,outcome,predictor,n,pearson_r,spearman_r
all,phase2_edge_gain,phase1_final_edges,54,-0.9883237768042537,-0.9403585740200461
all,phase2_edge_gain,phase1_edge_gain,54,0.13532320199512216,0.3211786049407676
all,phase2_edge_gain,phase1_edge_last_hour_rate,54,0.8706076116497204,0.7283214598029928
all,phase2_edge_gain,phase1_final_data,54,-0.8206472353874588,-0.633255842258906
all,phase2_edge_gain,phase1_data_gain,54,0.3432207836009594,0.4308566762256233
all,phase2_edge_gain,phase1_data_gain_per_hour,54,0.9513049044192824,0.8638106280678861
all,phase2_edge_gain,phase1_data_last_hour_rate,54,0.8600922743325811,0.8247026224992237
all,phase2_edge_gain,phase1_final_corpus,54,0.5298015474458627,0.4257469501778108
all,phase2_edge_gain,phase1_corpus_gain,54,0.33644870291072804,0.428683136041106
all,phase2_edge_gain,phase1_corpus_gain_per_hour,54,0.9470704669183119,0.8625903949818413
all,phase2_edge_gain,phase1_corpus_last_hour_rate,54,0.8434819611982649,0.8145902931811969
all,final_edges,phase1_final_edges,54,0.48997015948355005,0.5189024018275494
all,final_edges,phase1_edge_gain,54,0.45805709188531224,0.37406031037008985
all,final_edges,phase1_edge_last_hour_rate,54,-0.42808460763065526,-0.364727305912508
all,final_edges,phase1_final_data,54,0.6111271042302211,0.6556785710592474
all,final_edges,phase1_data_gain,54,0.2994122221061489,0.31571933476918884
all,final_edges,phase1_data_gain_per_hour,54,-0.4090727008395008,-0.39504024074926664
all,final_edges,phase1_data_last_hour_rate,54,-0.43385268883644146,-0.4674261375645528
all,final_edges,phase1_final_corpus,54,0.19414915786859951,0.31922944701073147
all,final_edges,phase1_corpus_gain,54,0.3031018673117516,0.3144221193755753
all,final_edges,phase1_corpus_gain_per_hour,54,-0.3939698317465207,-0.3946968602038983
all,final_edges,phase1_corpus_last_hour_rate,54,-0.4311565842370184,-0.4819812304409879
harfbuzz,phase2_edge_gain,phase1_final_edges,27,-0.9910646275647367,-0.9700671960904093
harfbuzz,phase2_edge_gain,phase1_edge_gain,27,-0.9822261413279337,-0.9750955951756782
harfbuzz,phase2_edge_gain,phase1_edge_last_hour_rate,27,0.8514690023315987,0.8502383155835452
harfbuzz,phase2_edge_gain,phase1_final_data,27,-0.9599507139493001,-0.9200000428879466
harfbuzz,phase2_edge_gain,phase1_data_gain,27,-0.9361028379800613,-0.9279389745557483
harfbuzz,phase2_edge_gain,phase1_data_gain_per_hour,27,0.9289852224533078,0.8479389708263615
harfbuzz,phase2_edge_gain,phase1_data_last_hour_rate,27,0.8542411890490856,0.909923706540352
harfbuzz,phase2_edge_gain,phase1_final_corpus,27,-0.9629757304327977,-0.9386259979547121
harfbuzz,phase2_edge_gain,phase1_corpus_gain,27,-0.9410229291088146,-0.9248855392989014
harfbuzz,phase2_edge_gain,phase1_corpus_gain_per_hour,27,0.9188938082563698,0.8522137801859472
harfbuzz,phase2_edge_gain,phase1_corpus_last_hour_rate,27,0.8342852906001874,0.8773858706651775
harfbuzz,final_edges,phase1_final_edges,27,0.7579455288637165,0.7670795453856969
harfbuzz,final_edges,phase1_edge_gain,27,0.7632686875968538,0.7397553862729196
harfbuzz,final_edges,phase1_edge_last_hour_rate,27,-0.6541946586968925,-0.7565832952985468
harfbuzz,final_edges,phase1_final_data,27,0.7290134604623563,0.7456077602820306
harfbuzz,final_edges,phase1_data_gain,27,0.6537664198159338,0.6973266020342597
harfbuzz,final_edges,phase1_data_gain_per_hour,27,-0.6884032995506012,-0.7673037237984338
harfbuzz,final_edges,phase1_data_last_hour_rate,27,-0.6086840959894338,-0.7352181439502318
harfbuzz,final_edges,phase1_final_corpus,27,0.7140373745658447,0.7205504503053393
harfbuzz,final_edges,phase1_corpus_gain,27,0.6598175253539531,0.726050835422174
harfbuzz,final_edges,phase1_corpus_gain_per_hour,27,-0.6785545880281421,-0.7419408368708075
harfbuzz,final_edges,phase1_corpus_last_hour_rate,27,-0.5999666222972456,-0.7657399306621803
openthread,phase2_edge_gain,phase1_final_edges,27,-0.8669653749146123,-0.8652254316659295
openthread,phase2_edge_gain,phase1_edge_gain,27,-0.4678587894168988,-0.5202146146977442
openthread,phase2_edge_gain,phase1_edge_last_hour_rate,27,0.398269928492622,0.4970270408218984
openthread,phase2_edge_gain,phase1_final_data,27,-0.7936020168849469,-0.802051455968075
openthread,phase2_edge_gain,phase1_data_gain,27,-0.805041198533866,-0.8042233182552867
openthread,phase2_edge_gain,phase1_data_gain_per_hour,27,0.5155594312126183,0.5692885489817757
openthread,phase2_edge_gain,phase1_data_last_hour_rate,27,0.5500912358310724,0.7039940492781005
openthread,phase2_edge_gain,phase1_final_corpus,27,-0.793133011489325,-0.8314488318820347
openthread,phase2_edge_gain,phase1_corpus_gain,27,-0.7899648176911204,-0.8280838807596277
openthread,phase2_edge_gain,phase1_corpus_gain_per_hour,27,0.49892294473056237,0.5377803702901459
openthread,phase2_edge_gain,phase1_corpus_last_hour_rate,27,0.5219955495592473,0.7054785452105311
openthread,final_edges,phase1_final_edges,27,0.6540079433855741,0.6596205933571531
openthread,final_edges,phase1_edge_gain,27,0.39565328253373333,0.40085679314565487
openthread,final_edges,phase1_edge_last_hour_rate,27,-0.1244043532857976,-0.04590671149770735
openthread,final_edges,phase1_final_data,27,0.5434372319496348,0.5627391268767539
openthread,final_edges,phase1_data_gain,27,0.4919925557264823,0.492665404817036
openthread,final_edges,phase1_data_gain_per_hour,27,-0.41285231244381215,-0.4187044693544289
openthread,final_edges,phase1_data_last_hour_rate,27,-0.32985878424066106,-0.3493812178273383
openthread,final_edges,phase1_final_corpus,27,0.5331892426048825,0.49083166261548383
openthread,final_edges,phase1_corpus_gain,27,0.49753638341977224,0.4590467977885783
openthread,final_edges,phase1_corpus_gain_per_hour,27,-0.3605953177102203,-0.46179741109090666
openthread,final_edges,phase1_corpus_last_hour_rate,27,-0.32514752387585644,-0.3505045803113399
