benchmark,dp_hours,trial,phase1_hours,phase2_hours,total_hours,start_edges_after_10m,phase1_final_edges,final_edges,edges_at_14h,edge_total,phase1_edge_gain,phase2_edge_gain,total_edge_gain,phase2_edge_gain_per_hour,total_edge_gain_per_hour,phase1_final_data,phase1_data_gain,phase1_data_gain_per_hour,phase1_data_last_hour_rate,phase1_edge_last_hour_rate,phase1_final_corpus,phase1_corpus_gain,phase1_corpus_gain_per_hour,phase1_corpus_last_hour_rate,final_corpus,final_data
harfbuzz,2,1,1.9991666666666668,11.999722222222221,13.998888888888889,4335,4510,4745,4745,9735,175,235,410,19.583786661728283,29.64093501486063,39113,9214,5028.103683492496,1986.0,63.0,11997,5699,3109.9590723055935,1123.0,3734,25477
harfbuzz,2,2,1.9994444444444446,11.99861111111111,13.998055555555554,4369,4582,4770,4770,9735,213,188,401,15.668480148165298,28.992026991745828,43678,9072,4949.863595028796,3432.0,65.0,15567,6067,3310.275841163989,2448.0,3756,25218
harfbuzz,2,3,1.9966666666666668,11.999722222222221,13.996388888888887,4364,4520,4756,4756,9735,156,236,392,19.667121924118614,28.344748629160225,41705,6904,3772.677595628415,2277.0,61.0,13569,4023,2198.3606557377047,1404.0,3689,25075
harfbuzz,2,4,1.9997222222222222,11.996666666666666,13.996388888888887,4360,4504,4759,4759,9735,144,255,399,21.25590441789386,28.85090485468094,39736,7494,4088.255796332778,1357.0,56.0,12541,4856,2649.128655856948,966.0,3863,24759
harfbuzz,2,5,1.9994444444444446,11.996944444444443,13.996388888888887,4371,4521,4765,4765,9735,150,244,394,20.33851212114196,28.489364693594716,40900,8036,4384.601394361927,2161.0,72.0,12875,4933,2691.542891785389,1332.0,3868,24889
harfbuzz,2,6,1.996388888888889,11.998888888888889,13.995277777777778,4373,4527,4763,4763,9735,154,236,390,19.66848782294657,28.202398409095473,42683,7397,4042.690147259754,2498.0,65.0,14401,4644,2538.09017762259,1640.0,3900,25907
harfbuzz,2,7,1.9994444444444446,11.997499999999999,13.996944444444443,4384,4578,4765,4765,9735,194,187,381,15.586580537612004,27.54825363031995,43994,8468,4620.309184601394,2058.0,54.0,15154,5445,2970.900272809942,1512.0,3751,25750
harfbuzz,2,8,1.9994444444444446,11.996944444444443,13.996388888888887,4365,4510,4776,4776,9735,145,266,411,22.17231239435968,29.71860124128789,42192,9053,4939.4968172173385,2575.0,41.0,13863,5644,3079.478629887845,1505.0,3744,25232
harfbuzz,2,9,1.9997222222222222,11.99611111111111,13.995833333333334,4376,4490,4747,4747,9735,114,257,371,21.423609503079703,26.827357637842724,41148,6852,3738.0209122594333,2395.0,27.0,13482,4386,2392.726170631914,1415.0,3606,25444
harfbuzz,6,1,5.995277777777778,11.996666666666666,17.991944444444442,4363,4606,4775,4761,9735,243,169,412,14.087246457349265,23.113244300384913,45684,12255,2102.5592146022973,492.0,23.0,16294,7912,1357.441738550255,441.0,3682,25863
